pt_s,eta_s,phi_s,cha_s,fla_s,event
78.67739,1.1188618,1.9431378,1,3,617
124.89936,-0.34245607,-0.77359676,1,3,620
33.907295,-0.63841647,-0.98450416,-1,3,622
47.54843,-0.607897,-2.2611988,1,3,626
68.74067,-0.16021645,-0.96926683,1,3,631
86.24578,0.4008824,-0.09760099,-1,3,635
104.097725,0.7244088,2.5475357,1,3,638
118.472595,0.1075774,-0.18771262,1,3,645
116.57713,-0.42996323,-0.35798162,-1,3,656
114.35234,0.24812126,2.555085,1,3,662
139.18365,0.0074902433,-2.066558,1,3,663
139.66812,-0.3345439,-3.0052302,1,3,666
114.21474,-0.08171059,0.4719949,1,3,668
43.493786,1.670657,-0.8451185,1,3,673
113.2369,0.31152567,-2.330675,-1,3,677
108.71164,-0.63286203,2.9384546,-1,3,678
110.17849,0.7719345,-0.4042749,-1,3,681
118.81412,0.4904398,2.5238845,1,3,686
40.098,-0.0839236,2.1442375,-1,3,690
64.40285,-0.22248939,-2.6439602,-1,3,699
118.55826,0.63763,-1.972492,1,3,704
70.81556,1.3325273,-0.75276446,1,3,707
76.45769,-0.9023841,2.8764353,1,3,708
101.74235,-0.3579168,2.7927194,1,3,714
156.68185,-0.102479815,2.0345166,-1,3,721
22.95266,0.6446328,3.1292539,-1,3,732
47.782627,-0.52525544,-3.0433686,1,3,745
36.75838,1.0847793,2.6061602,-1,3,749
1.3066638,-0.61539114,-1.1701279,-1,3,750
45.902714,-0.66032565,-2.8765674,1,3,761
20.305752,-0.5580323,-2.1184447,-1,3,762
98.59631,-0.35972035,-2.9406228,-1,3,769
11.007836,0.36773354,0.34326708,1,3,776
120.13223,0.38201016,-1.602319,1,3,777
44.376415,-0.5331787,-1.1371545,-1,3,785
40.784824,0.6288437,-2.699753,1,3,786
47.839497,0.268387,2.1137807,1,3,808
109.948105,0.88833547,2.5329642,-1,3,818
37.935295,-0.013291687,-2.9163964,1,3,821
44.70417,-1.5158569,1.2217654,-1,3,822
53.51936,0.62943786,-2.4182086,-1,3,835
117.028725,-0.11480284,-2.7756338,1,3,840
61.45226,-0.5056487,1.7313504,1,3,853
114.43687,-0.06591458,-1.6857997,1,3,855
136.36737,0.2875903,1.5240325,-1,3,878
116.68086,-0.50555503,-2.9888349,1,3,886
55.366444,-0.08471513,-1.3419152,1,3,897
6.274839,1.2535874,2.3906069,-1,3,899
155.24603,0.19029684,-2.3116298,1,3,926
45.783634,-0.17954117,-1.5073495,1,3,931
42.764214,-0.0022633271,-0.75874066,-1,3,932
69.9039,-1.0488709,0.8634918,-1,3,941
50.44838,-0.40505704,1.4386942,1,3,942
33.106068,1.3836874,1.7326964,-1,3,951
127.025,-0.5192261,-2.087059,-1,3,954
156.32391,0.044108458,-0.534399,1,3,955
1.875328,-0.8991953,0.026826218,-1,3,963
102.23308,0.11314066,-1.1030883,-1,3,966
38.124435,0.6768044,-0.3946024,-1,3,968
32.383053,-1.0644594,1.6735412,-1,3,982
31.87947,0.6315224,0.42965737,1,3,983
66.01112,0.4712091,2.5206707,1,3,984
56.22961,-1.0297478,-2.622148,-1,3,996
132.89235,0.13451411,1.5626768,-1,3,1003
14.125123,2.1651847,0.5520278,-1,3,1005
89.351616,-0.9245216,1.4132544,1,3,1006
52.9706,-1.4818647,1.1427138,1,3,1007
10.980378,-2.161206,1.8920468,-1,3,1009
131.40569,-0.20650436,1.219985,1,3,1019
149.25983,0.2623601,-0.0531665,-1,3,1031
24.248177,1.1650662,-0.09138728,-1,3,1032
13.094286,-0.9710694,0.54235125,1,3,1037
109.864,-0.61597824,-0.085270055,-1,3,1039
128.60425,0.43278912,1.7379397,-1,3,1047
137.03975,0.21049857,-0.31932476,1,3,1051
89.64519,1.0362409,-2.4710932,1,3,1059
35.561394,-0.49435368,-0.72453713,1,3,1071
62.365784,-1.328268,2.4745607,1,3,1072
37.016777,-0.7962385,-1.3841051,1,3,1076
71.72821,-1.081074,-1.3327307,1,3,1079
41.038773,-1.0353632,-2.1262426,-1,3,1084
51.122807,-0.547388,-2.7209017,1,3,1087
24.477076,-1.0959382,2.2061255,1,3,1090
98.79787,-0.7392864,2.5823755,-1,3,1100
93.84906,0.7948965,1.1515732,-1,3,1104
32.8184,-0.27499437,-0.82267135,-1,3,1108
19.910805,2.2509768,-2.8734767,-1,3,1111
125.47666,-0.21610248,-2.6812413,1,3,1125
125.888374,-0.4355719,-2.2112226,1,3,1129
118.13523,0.06814217,0.34615982,-1,3,1149
21.262108,1.5091606,-1.76207,-1,3,1153
102.701096,0.5752079,-1.3876928,1,3,1157
15.488387,-2.271796,1.1358298,-1,3,1165
105.38358,-0.70391744,1.408279,-1,3,1167
20.792006,-1.718614,-2.2290318,1,3,1178
77.87155,0.43561026,0.8517689,-1,3,1180
65.439995,-1.2611101,2.452998,1,3,1181
11.331845,2.0409496,0.90521383,1,3,1190
46.839787,1.8008063,-2.4867122,-1,3,1193
135.86958,0.21086857,1.3403642,1,3,1209
104.47288,0.81132746,-2.9773571,-1,3,1211
106.40666,0.6884782,-0.8386975,1,3,1224
67.475136,0.35182774,-0.41991565,-1,3,1227
118.26618,0.099643745,2.1015484,-1,3,1233
125.290886,-0.08570954,-1.7237064,-1,3,1236
65.64653,1.4438583,-1.0742747,1,3,1237
59.080128,-0.2538484,-1.7549006,-1,3,1238
43.341324,1.0627838,-2.8025727,-1,3,1244
97.85949,0.9349144,2.940179,-1,3,1249
40.460434,0.49772248,-2.2449648,-1,3,1258
78.97702,0.13454087,0.76142544,1,3,1260
55.269962,-0.2371507,0.035719275,1,3,1262
96.704834,-1.0741229,1.6221998,1,3,1263
27.850052,-2.2378132,-1.2316104,-1,3,1270
151.2098,0.14179578,-3.0009995,-1,3,1276
20.110918,-1.798661,-0.98942125,-1,3,1277
71.16683,0.20428416,-3.0063245,1,3,1279
125.90956,-0.7162906,2.5773442,-1,3,1280
64.764114,-0.010031648,1.8470596,-1,3,1285
134.70274,0.41859075,0.6678139,1,3,1286
52.278824,-1.2157245,-2.7289498,1,3,1287
130.73633,-0.21570787,-0.3442045,-1,3,1293
157.18263,-0.15962185,2.9361544,1,3,1296
123.159294,0.20715559,-1.7074977,-1,3,1299
10.573831,-0.69200355,-1.3514776,-1,3,1304
84.95047,0.12581122,2.7241325,1,3,1311
66.96955,-0.14553331,-2.9786448,-1,3,1317
79.11038,-0.9768893,-3.0904126,-1,3,1323
42.723156,-0.82264245,1.7172757,1,3,1331
68.066376,-1.1795101,-0.37950966,-1,3,1335
60.490494,-0.011938009,0.80612606,1,3,1342
39.20111,-0.04320752,-2.0555108,-1,3,1344
4.643433,0.6627196,-1.6279182,1,3,1346
118.5452,0.27758867,2.92064,-1,3,1349
18.17143,0.6050194,0.4534951,-1,3,1350
50.86627,-1.6316261,-2.9681587,-1,3,1352
98.193405,0.3840013,0.93100935,1,3,1357
74.47307,0.7903308,2.1396866,-1,3,1359
111.19709,0.30781955,3.076273,-1,3,1367
69.23388,0.04164213,2.4026294,1,3,1369
77.46525,1.1886754,-2.6626558,-1,3,1375
130.30797,-0.23529227,-1.205068,-1,3,1376
118.99912,0.36799,-1.6267692,1,3,1381
60.359997,-0.16312912,-0.40141976,-1,3,1386
87.14706,0.80963844,1.5067065,-1,3,1395
90.241196,-0.11654399,-2.5701258,-1,3,1400
41.027176,0.62677467,0.15887009,-1,3,1402
56.76039,-1.0233233,-2.722129,1,3,1414
54.282932,1.4895403,1.8883134,-1,3,1416
161.3106,0.09376393,-1.9401175,1,3,1418
50.907352,-0.5269124,-0.4417066,1,3,1426
67.94278,-1.1549703,2.703451,-1,3,1427
109.92458,0.7512602,-0.75996685,-1,3,1435
64.89038,1.4511098,-2.234289,-1,3,1449
98.6179,-0.864355,0.19560999,-1,3,1451
138.35844,0.27449626,0.33385336,-1,3,1460
117.279884,-0.44444215,-1.8773378,-1,3,1470
84.339645,1.0115317,-0.62123895,1,3,1476
41.26502,0.37306076,1.232517,-1,3,1480
52.88138,-0.17231773,-0.15181077,-1,3,1485
139.77684,-0.109520234,-0.6856482,1,3,1491
60.709858,0.50218433,1.7222167,-1,3,1500
7.5108366,-2.6890814,0.9138846,1,3,1503
109.52713,0.587348,-2.8519907,-1,3,1512
66.94679,-0.295938,-0.6089389,1,3,1513
59.514687,-0.84133136,-1.3533179,-1,3,1514
138.6702,-0.2167782,0.53872097,1,3,1522
81.45258,0.8993912,-2.0051172,1,3,1526
54.780193,1.0554383,1.5739483,1,3,1531
140.2279,0.3308688,0.6536315,1,3,1532
43.55957,-0.16583316,-2.5022595,-1,3,1533
83.754105,-0.06547275,-0.4731622,1,3,1535
158.5846,-0.16281913,0.53306776,1,3,1543
29.55798,0.95250607,0.59220254,1,3,1546
131.11649,0.16697578,3.041882,-1,3,1561
38.490963,-0.70752966,-1.8483487,-1,3,1567
63.825535,0.45926443,-2.792761,-1,3,1569
123.85369,-0.14815615,0.7735833,1,3,1570
35.854248,-0.62286466,-2.8917964,1,3,1578
98.943214,-0.7056694,-0.6279312,1,3,1580
138.57622,-0.16900977,1.0296263,1,3,1591
43.47713,0.27511165,-1.2983271,-1,3,1592
24.476637,1.9754512,-0.48336527,1,3,1594
75.292595,0.43518078,2.638683,1,3,1598
141.49097,-0.08260846,1.2268562,1,3,1599
49.81668,1.589504,-2.6940315,-1,3,1606
70.73277,-0.12548423,-0.9491414,1,3,1608
20.733568,0.3560677,1.4040301,-1,3,1611
10.518634,0.6618281,-0.48918653,1,3,1613
22.628613,-0.4183705,-0.44422036,1,3,1617
131.71617,0.35668668,-2.4832523,1,3,1627
61.992657,-0.54734427,-2.8320496,1,3,1629
106.826935,-0.54795253,2.2580848,1,3,1640
112.7799,0.3380145,2.651539,1,3,1642
104.6009,0.95133156,2.6078925,-1,3,1647
93.015045,0.683055,2.3812459,1,3,1650
110.32114,-0.3865976,-1.809454,1,3,1655
114.65776,-0.22343947,2.9155443,-1,3,1660
103.56372,0.9059436,-2.6602256,-1,3,1663
134.85222,-0.0013321345,0.76241136,1,3,1665
131.63205,-0.3996433,2.6246161,-1,3,1671
129.18637,0.3892874,2.1267188,-1,3,1672
94.60907,0.8105921,1.173383,1,3,1673
106.27047,-0.5926925,-1.3668422,-1,3,1675
146.89496,0.35890743,-1.3968295,1,3,1687
36.475887,2.021791,0.5942483,-1,3,1690
77.44326,0.16048692,2.4779172,1,3,1693
26.238384,-1.8126205,2.4464233,-1,3,1697
35.752342,-1.2040572,1.7705659,1,3,1698
70.567245,-0.45259205,0.49312073,1,3,1707
46.43879,0.017275851,-1.2157147,1,3,1723
38.11339,0.3293454,-2.847655,1,3,1724
22.998348,1.2273027,2.6282854,1,3,1725
165.52307,0.068209544,2.0132644,-1,3,1728
23.500809,-1.3656459,-1.4040757,-1,3,1738
131.93535,0.33337992,1.466628,1,3,1742
132.44215,0.06662453,-0.54810476,1,3,1753
47.433167,-0.81624115,2.4435213,1,3,1765
113.20714,0.63144004,-0.9172002,1,3,1796
32.624996,0.8068122,-2.9973323,1,3,1799
37.71568,-0.93621343,-1.3895445,1,3,1801
95.597374,0.49471796,-2.5670474,-1,3,1803
101.77828,0.8650729,-1.486343,-1,3,1809
32.28343,0.765938,0.84990245,1,3,1819
136.16966,0.0015981873,-2.9684803,1,3,1829
40.1733,1.209817,2.5655928,-1,3,1831
100.57723,0.515568,-1.7618381,-1,3,1840
74.46408,-0.8570823,-3.0886183,1,3,1843
42.567715,0.30006766,-1.1494806,-1,3,1850
20.200449,-1.2374741,-1.6047256,-1,3,1853
